X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion , P5AncestryProportion , P6AncestryProportion , P7AncestryProportion , P8AncestryProportion
249 , 0.0666667 , 0.133333 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0666667 , 0.733333
250 , 0.0769231 , 0.153846 , 0.0384615 , 0.230769 , 0.0 , 0.0769231 , 0.0769231 , 0.346154
251 , 0.0588235 , 0.117647 , 0.0 , 0.117647 , 0.0 , 0.235294 , 0.176471 , 0.294118
252 , 0.142857 , 0.190476 , 0.0952381 , 0.047619 , 0.0 , 0.190476 , 0.142857 , 0.190476
253 , 0.230769 , 0.153846 , 0.0769231 , 0.0 , 0.0 , 0.0769231 , 0.0 , 0.461538
254 , 0.222222 , 0.388889 , 0.0555556 , 0.222222 , 0.0 , 0.0555556 , 0.0555556 , 0.0
255 , 0.0909091 , 0.0454545 , 0.136364 , 0.0 , 0.0 , 0.227273 , 0.0909091 , 0.409091
256 , 0.04 , 0.36 , 0.08 , 0.08 , 0.0 , 0.2 , 0.0 , 0.24
257 , 0.0 , 0.0625 , 0.1875 , 0.25 , 0.125 , 0.1875 , 0.0 , 0.1875
258 , 0.0 , 0.428571 , 0.142857 , 0.0 , 0.0 , 0.142857 , 0.142857 , 0.142857
259 , 0.105263 , 0.210526 , 0.0 , 0.157895 , 0.0 , 0.0 , 0.368421 , 0.157895
260 , 0.0333333 , 0.366667 , 0.166667 , 0.1 , 0.0666667 , 0.133333 , 0.0 , 0.133333
261 , 0.0625 , 0.6875 , 0.0 , 0.0625 , 0.0 , 0.0 , 0.0625 , 0.125
262 , 0.444444 , 0.0555556 , 0.0555556 , 0.0 , 0.0 , 0.222222 , 0.0 , 0.222222
263 , 0.0 , 0.4375 , 0.0 , 0.25 , 0.0625 , 0.0625 , 0.0 , 0.1875
264 , 0.25 , 0.3125 , 0.1875 , 0.0625 , 0.0 , 0.0625 , 0.0 , 0.125
265 , 0.166667 , 0.222222 , 0.0 , 0.0 , 0.222222 , 0.111111 , 0.111111 , 0.166667
266 , 0.0666667 , 0.466667 , 0.2 , 0.0666667 , 0.0 , 0.133333 , 0.0 , 0.0666667
267 , 0.130435 , 0.347826 , 0.173913 , 0.0434783 , 0.0 , 0.130435 , 0.0869565 , 0.0869565
268 , 0.258065 , 0.0645161 , 0.322581 , 0.0645161 , 0.0 , 0.129032 , 0.0322581 , 0.129032
269 , 0.047619 , 0.380952 , 0.047619 , 0.0 , 0.047619 , 0.0952381 , 0.0 , 0.380952
270 , 0.1 , 0.233333 , 0.0666667 , 0.0666667 , 0.0 , 0.0666667 , 0.1 , 0.366667
271 , 0.176471 , 0.235294 , 0.117647 , 0.0 , 0.0 , 0.294118 , 0.0588235 , 0.117647
272 , 0.0869565 , 0.478261 , 0.130435 , 0.0434783 , 0.0 , 0.0434783 , 0.0434783 , 0.173913
273 , 0.2 , 0.533333 , 0.0666667 , 0.0 , 0.0 , 0.133333 , 0.0666667 , 0.0
274 , 0.0769231 , 0.153846 , 0.384615 , 0.0 , 0.0 , 0.230769 , 0.0769231 , 0.0769231
275 , 0.0 , 0.444444 , 0.222222 , 0.0555556 , 0.0 , 0.0555556 , 0.0555556 , 0.166667
276 , 0.0769231 , 0.230769 , 0.153846 , 0.0769231 , 0.153846 , 0.153846 , 0.0 , 0.153846
277 , 0.0714286 , 0.5 , 0.0 , 0.0714286 , 0.0 , 0.0 , 0.0 , 0.357143
278 , 0.117647 , 0.294118 , 0.0588235 , 0.0 , 0.0588235 , 0.176471 , 0.0 , 0.294118
279 , 0.166667 , 0.25 , 0.0 , 0.166667 , 0.0 , 0.0 , 0.0833333 , 0.333333
280 , 0.217391 , 0.26087 , 0.0434783 , 0.0869565 , 0.0 , 0.130435 , 0.0434783 , 0.217391
281 , 0.272727 , 0.136364 , 0.0909091 , 0.0 , 0.0 , 0.181818 , 0.0 , 0.318182
282 , 0.210526 , 0.0 , 0.0526316 , 0.105263 , 0.0526316 , 0.210526 , 0.368421 , 0.0
283 , 0.0833333 , 0.333333 , 0.0833333 , 0.0833333 , 0.0 , 0.0 , 0.0 , 0.416667
284 , 0.0952381 , 0.047619 , 0.047619 , 0.333333 , 0.190476 , 0.047619 , 0.047619 , 0.190476
285 , 0.176471 , 0.176471 , 0.0 , 0.117647 , 0.0588235 , 0.0588235 , 0.117647 , 0.294118
286 , 0.0 , 0.538462 , 0.0 , 0.0769231 , 0.0 , 0.0 , 0.230769 , 0.153846
287 , 0.0 , 0.5 , 0.125 , 0.0 , 0.0 , 0.0 , 0.0 , 0.375
288 , 0.0434783 , 0.130435 , 0.130435 , 0.0434783 , 0.0 , 0.0869565 , 0.0869565 , 0.478261
289 , 0.176471 , 0.352941 , 0.294118 , 0.0 , 0.0 , 0.0 , 0.0588235 , 0.117647
